date,items,mom,peso
2016-08-01,12436,-0.03,0.0804
2016-08-01,31694,0.33,0.0003
2016-08-01,101448,-2.42,0.0041
2016-08-01,101642,0.84,0.0141
2016-08-01,101644,0.23,0.3445
2016-08-01,101699,0.53,0.0008
2016-08-01,107608,0.97,0.0948
2016-08-01,107609,1.38,0.1503
2016-08-01,107611,0.73,0.1577
2016-08-01,107613,-0.37,0.0458
2016-08-01,107615,-0.87,0.0086
2016-08-01,107616,-3.87,0.0263
2016-08-01,107617,0.41,0.4795
2016-08-01,107618,0.01,0.379
2016-08-01,107619,3.29,0.5381
2016-08-01,107620,0.02,0.0444
2016-08-01,107621,0.37,0.7403
2016-08-01,107622,1.05,0.0056
2016-08-01,107624,0.84,0.0391
2016-08-01,107625,-0.58,0.0041
2016-08-01,107626,0.46,0.0061
2016-08-01,107627,1.94,0.0032
2016-08-01,107628,0.65,0.0196
2016-08-01,107630,-0.59,0.017
2016-08-01,107633,0.84,0.3775
2016-08-01,107638,0.36,0.1605
2016-08-01,107639,0.23,0.1192
2016-08-01,107640,-0.36,0.0575
2016-08-01,107641,0.87,1.4338
2016-08-01,107642,-0.39,0.0475
2016-08-01,107645,0.0,0.0439
2016-08-01,107646,0.37,0.1471
2016-08-01,107647,0.39,0.0655
2016-08-01,107648,0.06,0.0707
2016-08-01,107649,0.1,0.6096
2016-08-01,107650,-0.23,0.26
2016-08-01,107652,-0.64,0.1929
2016-08-01,107653,0.0,0.0321
2016-08-01,107654,0.5,1.0109
2016-08-01,107656,-0.11,0.0054
2016-08-01,107657,-0.22,0.1097
2016-08-01,107658,0.25,0.3797
2016-08-01,107659,0.05,0.076
2016-08-01,107661,0.81,0.2016
2016-08-01,107666,-0.34,0.2581
2016-08-01,107668,0.0,0.4749
2016-08-01,107670,0.1,0.1998
2016-08-01,107671,0.11,0.7657
2016-08-01,107672,0.12,0.358
2016-08-01,107673,1.83,1.4126
2016-08-01,107674,0.2,0.2158
2016-08-01,107676,1.75,0.218
2016-08-01,107677,0.23,0.1355
2016-08-01,107678,1.14,0.7935
2016-08-01,107679,1.24,0.1664
2016-08-01,107680,1.06,0.076
2016-08-01,107681,0.41,0.2545
2016-08-01,107682,2.39,0.0954
2016-08-01,107688,0.0,0.2325
2016-08-01,109463,-0.28,0.1573
2016-08-01,109464,0.35,0.2668
2016-09-01,7169,0.08,100.0
2016-09-01,7170,-0.29,26.1092
2016-09-01,7171,-0.6,17.3522
2016-09-01,7172,-1.5,1.3413
2016-09-01,7173,1.13,0.642
2016-09-01,7175,-1.45,0.048
2016-09-01,7176,-3.77,0.1206
2016-09-01,7177,-0.19,0.0518
2016-09-01,7184,0.94,0.709
2016-09-01,7185,0.08,0.0106
2016-09-01,7187,-0.05,0.2831
2016-09-01,7188,-1.81,0.032
2016-09-01,7189,0.16,0.005
2016-09-01,7190,1.64,0.0053
2016-09-01,7191,0.15,0.0849
2016-09-01,7192,1.74,0.0082
2016-09-01,7195,3.4,0.1847
2016-09-01,7200,-8.83,0.7461
2016-09-01,7202,-19.24,0.2986
2016-09-01,7203,-9.18,0.0133
2016-09-01,7204,5.32,0.0122
2016-09-01,7205,-2.07,0.0118
2016-09-01,7210,-8.87,0.0068
2016-09-01,7211,2.65,0.0031
2016-09-01,7212,-0.09,0.2361
2016-09-01,7215,-3.3,0.1036
2016-09-01,7216,-5.34,0.0467
2016-09-01,7219,1.07,0.9792
2016-09-01,7220,0.69,0.1403
2016-09-01,7221,1.58,0.374
2016-09-01,7230,0.1,0.1342
2016-09-01,7233,-0.39,0.0051
2016-09-01,7241,-4.42,0.2306
2016-09-01,7242,-3.4,0.1076
2016-09-01,7244,-1.5,0.0107
2016-09-01,7245,-4.35,0.0196
2016-09-01,7246,-1.36,0.0037
2016-09-01,7248,-12.32,0.035
2016-09-01,7249,-0.04,0.0381
2016-09-01,7250,-5.62,0.0002
2016-09-01,7253,-7.25,0.0157
2016-09-01,7254,0.75,1.0856
2016-09-01,7255,-7.51,0.0203
2016-09-01,7256,3.01,0.0328
2016-09-01,7257,5.88,0.0012
2016-09-01,7258,13.08,0.1129
2016-09-01,7259,6.81,0.0042
2016-09-01,7260,-5.17,0.2132
2016-09-01,7262,0.05,0.0079
2016-09-01,7265,5.73,0.0027
2016-09-01,7266,0.35,0.1632
2016-09-01,7267,-4.97,0.1194
2016-09-01,7268,-3.08,0.0134
2016-09-01,7269,-4.11,0.0057
2016-09-01,7270,0.95,0.0586
2016-09-01,7272,-0.75,0.0266
2016-09-01,7275,13.86,0.0613
2016-09-01,7276,-0.97,0.088
2016-09-01,7279,3.03,0.1387
2016-09-01,7280,-14.26,0.0123
2016-09-01,7281,0.01,0.0029
2016-09-01,7283,1.43,2.699
2016-09-01,7285,-0.61,0.0278
2016-09-01,7287,1.03,0.2152
2016-09-01,7288,-6.55,0.0106
2016-09-01,7291,2.97,0.3456
2016-09-01,7292,1.45,0.0548
2016-09-01,7293,1.48,0.275
2016-09-01,7294,3.31,0.4174
2016-09-01,7295,0.78,0.2055
2016-09-01,7296,1.6,0.0174
2016-09-01,7298,-0.63,0.1598
2016-09-01,7299,0.44,0.1344
2016-09-01,7300,-0.21,0.3065
2016-09-01,7301,2.77,0.0357
2016-09-01,7302,1.54,0.4274
2016-09-01,7303,0.03,0.302
